id_grid,crime_count,num_potholes,bank_a,bar_a,beauty_shop_a,cafe_a,car_dealership_a,car_wash_a,cinema_a,courthouse_a,dentist_a,department_store_a,fast_food_a,golf_course_a,hospital_a,hotel_a,motel_a,museum_a,nightclub_a,park_a,pharmacy_a,playground_a,post_office_a,restaurant_a,school_a,sports_centre_a,stadium_a,supermarket_a,swimming_pool_a,theatre_a,theme_park_a,track_a,university_a,bakery,bank,bar,cafe,car_dealership,cinema,convenience,department_store,fast_food,gift_shop,hairdresser,hotel,motel,nightclub,pharmacy,playground,pub,restaurant,school,supermarket,theatre,university,unemployment_rate,income,poverty_rate,density
7,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0235961592861152,60254.842769241885,0.14440484576377574,749.6492617294614
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017843027186451088,59366.93478627715,0.14760495817277483,1176.7215141466445
9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06052878134761637,67631.4862432675,0.11200050495033861,1370.0000287209025
10,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06423245790579632,67647.93997307743,0.038359018389949553,633.93424274255494
11,277,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0.05119777327082448,71527.31220695216,0.08115362600246989,1354.9365509101901
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04130600750292213,74912.40875615788,0.0030206613653788452,463.402750314181
17,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01591148547890664,74092.93454812288,0.045682358738152275,1540.860515062199
18,318,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012752664667567234,65466.87941722627,0.29419226331798115,3165.534956423862
19,489,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.027681201131005303,63588.81041169346,0.19447701821840263,2799.745041815206
20,1361,70,1,0,0,0,1,1,0,0,0,0,5,1,0,2,0,0,0,3,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.027191780173783143,64551.288472456545,0.18666318497516554,1480.9887116135008
21,1142,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782895925365215,61299.8445442133,0.18744864535034575,2287.055475104081
22,462,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05870550381515208,67505.51778799866,0.16962681086049877,1776.7127080982893
23,283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04812988495005896,69633.53402666652,0.13014919271606487,985.4876071473602
24,346,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967985275308917,71063.97051579038,0.14935108237079187,1795.3097510602756
29,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02891792885635227,67295.09061550244,0.02886732147485011,2690.307326484704
30,300,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.020147552359839213,73550.15840522558,0.0607031482713624,1763.8245055867155
31,625,63,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,0,0,2,0,0,1,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021427045130089993,64974.32945617832,0.22239864195753084,2296.116456088569
32,182,173,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.002226505786707885,61772.94612016202,0.1922093165299584,956.0350968156779
33,1876,139,0,1,0,1,0,0,0,0,0,0,2,0,0,4,1,1,0,14,0,0,0,1,1,1,0,0,1,2,0,1,1,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,4,0,0.041159168350376994,59316.79054262152,0.17485085581078127,1714.0247591854404
34,1779,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0.061290180545554324,55792.574743400466,0.23723109021713903,2316.8005921093863
35,1053,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0.02976429438680813,60447.90064202157,0.21044553229709922,1788.7580678539696
36,476,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011844867607665358,65742.02217479676,0.08003101767618383,1126.9160616353595
37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01199450504017072,67144.26836319569,0.07980232469570567,1566.5902438441376
42,221,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02967214966023904,68747.2853716391,0.07067623926932781,2138.6968482211946
43,868,30,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0.019107822226754573,66421.3230332512,0.10659716197263694,1984.6143186105737
44,1204,74,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,8,0,0,1,5,1,0,0,1,2,0,0,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0.03261449683320019,63759.249343546915,0.22348106088514802,2608.0095434751943
45,733,168,4,1,0,1,0,0,0,0,0,0,8,0,0,2,0,0,0,23,0,2,0,3,1,7,0,1,7,4,1,0,7,0,2,1,5,0,1,2,1,12,0,1,0,0,1,1,0,1,20,1,1,0,1,0.019391048082628693,66597.98372657278,0.2199950371504195,3763.616521624556
46,3103,388,4,4,0,3,0,0,1,4,0,0,7,0,0,6,1,7,1,29,1,3,1,8,9,3,0,0,6,0,0,1,2,2,8,18,11,0,0,2,0,10,3,8,4,0,5,4,0,12,77,4,3,1,0,0.014519193726448772,76628.11795786263,0.11713239921047318,3116.534363993788
47,2842,147,1,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,15,1,2,0,3,7,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0465324873744177,63834.84837839032,0.21584675265051195,2427.474640201628
48,1465,67,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0374446948661049,59553.35706511568,0.2119949461345547,1634.9426744342747
49,175,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.054651982376745e-4,61027.820761005954,0.10404294204205725,687.2052579429995
50,226,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,1,1,0,0,0.03688818831127812,74290.50503685529,0.036281964694323605,2421.2877481275705
55,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01865753138080767,85127.70622486758,0.04326210246181948,817.5572463194592
56,175,16,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,2,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021065696838088545,71965.51773138264,0.07704170424088955,876.6629054254688
57,245,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,11,0,0,0,0,1,0,0,0,4,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,8,0.0100629992243706,76187.36790424092,0.05873907106788441,1191.375118317056
58,171,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021054215869646495,102942.84862402054,0.050153537359006135,1909.186368630132
59,186,173,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,0.0063430151692448035,110082.47677249066,0.02208473674747224,1904.7773630791544
60,936,118,1,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,2,13,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0.026375389495802495,71628.95109020897,0.09308378284348769,1637.5475188346666
61,1138,85,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03996072623118806,67947.064290457,0.060828570420058715,1341.5058719400283
62,933,96,1,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,2,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,3,1,3,0,0,0.009370319366849733,73562.00804171458,0.07423773535934318,1759.842008343856
63,285,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024147327220807875,75402.9936912928,0.07322688746446421,1643.9000903141773
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03757711721817162,71740,0.0570801317233809,519.3017039009601
68,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.026964132795006455,75134.94631619782,0.07676846507778529,397.51323081728515
69,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400766595858205,75272.95310653046,0.08092631064311484,926.2701757691558
70,165,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,11,0,0,0,0,0,3,0,2,0,0,0,0,6,1,0,0,0,0,0,0,1,3,0,1,0,0,0.016661473826272106,78996.88615934014,0.07148296129341451,1783.7398271820161
71,243,96,1,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,12,0,3,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0.014112041530657279,109439.37682609944,0.037032127852627224,1387.5507370097646
72,227,69,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,17,0,0,0,2,3,0,0,0,5,0,0,0,0,0,4,2,4,1,1,1,1,7,3,4,0,0,0,0,0,0,18,0,1,0,0,0.011663621785014762,100894.70017794032,0.027183270580910208,1515.3454488660207
73,947,92,0,0,2,1,1,2,0,0,1,1,11,0,1,17,0,0,0,2,2,2,1,8,2,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,6,1,2,0,0,0.01634699442345027,66517.1461860302,0.10586381955677941,1504.0098852757226
74,1702,212,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,2,0,3,0,2,1,0,0,0,3,0,1,0,0,0,0,0,1,2,0,2,0,3,0,0,0,1,0,1,0,0,3,0,2,0,0,0.030179239461887424,62846.08365241504,0.16206698750252752,1861.975627610216
75,307,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.03569488223327736,72451.65247298013,0.11766922078664366,2543.7966180536796
76,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045582034403990584,73520.41057506783,0.1083048872659108,1684.1718908620626
